Video ID,Title,Channel,Channel Subscribers,View Count,Likes,Dislikes,Comment Count,Published Date,Duration
O9lASNlOHBE,Shalva Center helps evacuated people in need,Fox News,10900000,15556,228,4,70,2023-10-29T14:00:15Z,148
QauHpRwjunI,’SHAME’: GOP rep shreds ‘Squad’ Dems for refusing to condemn Hamas,Fox News,10900000,149687,3179,-1,1484,2023-10-29T12:30:27Z,357
E9GpMdwXbCM,Mark Levin: Biden blew this all up,Fox News,10900000,146163,4710,204,869,2023-10-29T23:45:00Z,361
miZHY448gng,Mark Levin: I have a serious question for Jewish Americans,Fox News,10900000,322548,13234,-1,2485,2023-10-29T10:00:27Z,645
Gmd8uW2dj4A,Pro-Palestine protests break out in Lebanon over Israel-Hamas war,Fox News,10900000,33422,395,-1,235,2023-10-29T05:00:05Z,118
yhdoJKCA3Lk,'VERY RANDOM': Tomi Lahren questions Hamas' intentions behind release of some hostages,Fox News,10900000,111430,1797,134,526,2023-10-29T02:30:26Z,328
cDHRpJStuWA,Brian Kilmeade: Is this the way a world super power acts?,Fox News,10900000,48257,934,-1,284,2023-10-29T08:00:16Z,193
-WfOg7B9acE,Airstrikes pounding Hamas as IDF expands offensive,Fox News,10900000,357515,5242,282,1089,2023-10-29T04:00:00Z,497
N4Yr3sbJphw,'FINAL OUTCOME': IDF veteran says every single Hamas officer needs to be 'eliminated',Fox News,10900000,202379,4581,-1,662,2023-10-29T09:00:12Z,355
8XHTUO0Voik,Israel strikes Hamas targets within Gaza with airstrikes,Fox News,10900000,380207,6770,724,1489,2023-10-29T11:45:00Z,394
ntaROVGoiPE,This 'says everything' about US' response to attack on troops: Expert,Fox News,10900000,317608,3212,-1,956,2023-10-29T00:00:18Z,263
cjCr0noJan8,"Hamas is not bound by law, rules: Former Israeli PM",Fox News,10900000,69310,1340,-1,368,2023-10-28T23:15:02Z,608
PV-xY3rS9bk,Subterranean warfare expert addresses challenges IDF will face in tunnels ahead of invasion,Fox News,10900000,88433,1308,66,395,2023-10-28T22:30:01Z,260
2vZeTI_R8aQ,This is a ‘pin prick’ response to Iran: Former ambassador-at-large,Fox News,10900000,40784,723,-1,403,2023-10-28T21:45:00Z,293
z1iA8RhrrDw,"Iran’s goal is to dominate, control Middle East",Fox News,10900000,66942,1125,125,522,2023-10-28T20:15:02Z,501
DainbBZ5uks,Biden admin's failed foreign policy has resulted in all this: Rep Cory Mills,Fox News,10900000,45801,1205,-1,403,2023-10-28T17:15:00Z,305
jFCTOTjB0G0,Biden gave the world a war through weakness: Sen. Roger Marshall,Fox News,10900000,59705,1377,38,743,2023-10-28T18:45:01Z,402
CU9wmVWmtr0,Biden is in an ‘up and coming divorce’ with the far Left: Democratic voter,Fox News,10900000,125673,2011,-1,811,2023-10-28T18:00:04Z,298
fYJ7FrW_AJI,‘WOKE VIRUS’: College kids are ‘marching for genocide’: Expert,Fox News,10900000,64130,1206,202,1217,2023-10-28T15:45:01Z,192
J-jYxVtduF4,"‘VERY CONCERNED’: This has ‘a lot to do’ with oil, former US gen warns",Fox News,10900000,181770,2040,-1,715,2023-10-28T12:45:01Z,410
7duTc4WxJik,This could be the most difficult fighting Israel has faced: Michael Glover,Fox News,10900000,128479,1685,126,459,2023-10-28T08:15:00Z,262
NXbUC4EqmnU,How do Israel’s ground operations affect hostage negotiations?,Fox News,10900000,31609,463,-1,131,2023-10-28T07:30:08Z,176
O8oSFQ-fetQ,Mike Pompeo: Biden's weakness invited Iran to unleash Hamas,Fox News,10900000,87040,1662,-1,603,2023-10-28T05:00:11Z,471
GYvq6GDdtrU,"Iran's malign behavior, funding of Hamas terror must be met with US resolve: Ollie North",Fox News,10900000,86544,1581,127,570,2023-10-28T09:45:00Z,376
iVSrghx5gRA,What is the endgame for Israel?,Fox News,10900000,177706,3393,-1,891,2023-10-28T01:30:25Z,705
Fpk9-c6c4t8,'The Five': New phase of war imminent as IDF expands operations in Gaza,Fox News,10900000,156471,2562,54,741,2023-10-27T22:00:09Z,385
9CIuxvVeeRA,'USELESS': Ret. Brig. Gen. Spalding says Biden's strikes in Syria will not deter Iran,Fox News,10900000,82357,1904,-1,521,2023-10-28T10:30:05Z,431
9jyua-MQLQw,"How Putin benefits from Iran, Hamas actions",Fox News,10900000,58394,1637,-1,341,2023-10-28T06:00:06Z,214
7dxftaxlsT8,Any letup in pressure gives Hamas time to rearm: Mike Pompeo,Fox News,10900000,55804,1121,76,248,2023-10-28T00:15:00Z,406
G2WtrEz7Q-8,"When this is over, Gaza will be very different says Netanyahu adviser Mark Regev",Fox News,10900000,131590,2586,-1,994,2023-10-27T23:30:07Z,454
l1un4ej4sco,Why are US troops in Syria and Iran anyway? Lt. Col Daniel Davis explains,Fox News,10900000,51704,768,0,306,2023-10-30T08:00:18Z,304
HpEY8XltPsI,IDF ground forces expanding operations,Fox News,10900000,237440,3712,-1,916,2023-10-27T19:16:11Z,910
A1iLJUxNVdk,What is the next phase of the Israel-Hamas war?,Fox News,10900000,46369,894,0,295,2023-10-28T12:00:09Z,415
edHu9nxzsLQ,McEnany: Let's be very clear. These are lies.,Fox News,10900000,611002,11434,-1,2854,2023-10-28T00:45:04Z,373
KpbhZmFNvPs,Israel warns civilians in Gaza with fliers to evacuate,Fox News,10900000,231509,3260,168,920,2023-10-27T20:30:03Z,773
MMhPN6IrjCA,Families of hostages from the Israel-Hamas war hold a news conference,Fox News,10900000,36044,1016,-1,112,2023-10-27T20:34:20Z,5320
wXSEtIExbhs,Explosions rock Israel-Gaza border: 'Heaviest fire we've seen',Fox News,10900000,403174,5058,448,874,2023-10-27T16:30:11Z,510
x_6z4yG0eS0,Online 'stealth edits' to Biden official's Middle East essay,Fox News,10900000,58961,1256,-1,327,2023-10-27T19:30:04Z,587
dnrujr6Ymtg,Trey Yingst: Israelis are working to 'clear a path' for Gaza ground invasion,Fox News,10900000,49425,647,-1,164,2023-10-27T15:30:10Z,145
Vxslo3g3fWc,Reports of American flag burned at Wall Street rally for Gaza,Fox News,10900000,111052,2051,98,1550,2023-10-27T17:00:31Z,237
ysbBi6BSe88,At least 3 injured in Tel Aviv rocket strike,Fox News,10900000,71958,979,-1,304,2023-10-27T12:30:36Z,354
-JYvMhPjONo,900 US troops being deployed to Middle East,Fox News,10900000,65619,1062,32,384,2023-10-27T12:00:00Z,274
0SeDXshl9mY,IDF spokesperson confirms senior Hamas official killed in recent strike,Fox News,10900000,155100,2530,-1,337,2023-10-27T13:30:00Z,393
H56oorBRQr4,'WISHY-WASHY': Biden admin called out for 'soft-peddling' Iran threat,Fox News,10900000,54139,1940,10,436,2023-10-27T11:30:07Z,239
2b-T68XrUiQ,Iranian official threatens U.S. over Gaza: 'Will not be spared from this fire',Fox News,10900000,129362,1877,-1,634,2023-10-27T11:00:02Z,310
KCqXnL9wqW4,Explosions near Israel-Gaza border as ground invasion looms,Fox News,10900000,731719,3998,0,N/A,2023-10-27T09:33:56Z,N/A
T1evcZQzrFI,Larry Hogan says Harvard's response to anti-Israel protests 'not strong enough',Fox News,10900000,44886,921,-1,475,2023-10-27T05:00:15Z,428
DaHwOUDtUYg,US cannot take any info out of Hamas at face value: John Kirby,Fox News,10900000,24918,327,-1,206,2023-10-26T23:00:11Z,424
Pu9ec5wKYkE,US bolsters Middle East forces amid Iranian escalations: Report,Fox News,10900000,96048,1161,71,512,2023-10-26T22:30:04Z,169
EN2qN-IoC4k,Photo shows top Hamas official meeting with head of Hezbollah,Fox News,10900000,81969,860,-1,245,2023-10-26T19:30:00Z,127
KhHg7Wz8QBE,Israel targets top Hamas officials with airstrikes,Fox News,10900000,112733,1726,188,415,2023-10-26T18:15:02Z,129
sxevI8UX2E8,Families of Israelis held hostage speak out,Fox News,10900000,22597,431,-1,60,2023-10-26T18:28:46Z,2111
tWeMWN8E5Ow,'Squad' Dems face new backlash: 'A complete disgrace',Fox News,10900000,207778,5535,233,1454,2023-10-26T17:30:05Z,796
Q9OBiEFMWvw,'GLORY TO OUR MARTYRS': Pro-Hamas messages light up DC university library,Fox News,10900000,31609,655,-1,398,2023-10-26T17:00:25Z,226
gLvXQIo2bOY,"Satellite images show Gaza before, after latest Israeli airstrikes",Fox News,10900000,116335,1505,67,520,2023-10-26T15:00:29Z,329
OU0c2MXR2Gg,"IDF conducted 'clear and sweep' operation, taking out Hamas assets",Fox News,10900000,246421,3496,-1,524,2023-10-26T14:00:15Z,366
FoMpcgWHJAE,U.S. military bolsters readiness in Middle East amid targeted attacks,Fox News,10900000,72193,1068,82,389,2023-10-26T12:00:21Z,322
